choice;bank_partner;choice_1;choice_2;choice_3;choice_4;choice_5
SOREPACK;SOREPACK ATELIER DU PAIN;SOREPA;SOREPACK;O'BREAK;PACK OI;SOREBRA
SAS SORESUM DISTRIBUTION;SORESUM DISTRIBUTION;M DISTRIBUTION;SAS SORESUM DISTRIBUTION;SORESUM DISTRIBUTION/FRS;FRESH DISTRIBUTION;J&S DISTRIBUTION
STATION SOUPRAYENMESTRY SARL;SOUPRAYENMESTRY;STATION SOUPRAYENMESTRY SARL;ESTREA;DPR;GEM;MCS
DISTILLERIE J.CHATEL;STE  J CHATEL;DISTILLERIE J.CHATEL;ATERLA;FOYER DE CHARITE;FRUITS ET LEGUMES LE CHANDELLE;HYPER U LA CHATOIRE (CCT)
SAS MONTHYON DISTRIBUTION;STE  MONTHYON DISTRIBUTION SARL;M DISTRIBUTION;AH YON DISTRIBUTION;GIO DISTRIBUTION;SAS MONTHYON DISTRIBUTION;TI'COQ DISTRIBUTION SARL
PETRIGEL/FRUIT A PAIN;STE  PETRIGEL;ASSOCIATION DE LA JEUNESSE DE PETITE ILE;GEM;APPELER RESPONSABLE LE RELAIS DE L ERMITAGE;ASSOCIATION CLUB BOULISTE DE L ENTRE DEUX/CBED;ASSOCIATION OMNISPORTS DE PETITE-ILE-TEAM CLAIN/AOPI TEAM-CLAIN
;STE  SEMAD SARL;MADOU SARL;SDC SARL;NEMI SARL;HELADO SARL;ACS SARL
STREET FOOD;STREET FOOD;ATIPIK/STREET FOOD;CCD REUNION/WASABI ASIAN STREET FOOD;FOS JEAN PASCAL/STREET FOOD;LE SUFFREN STREET FOOD;STREET
;SUPER L;U EXPRESS LE PORT CENTRE/SUPER L;BIG BAZAR/SUPER BAZAR SUD;LM CAP AUSTRAL SUPER U ST ANDRE;LM FRAICHEUR SUPER U SOCOYONG;SUPER M
INTERMARK 10 EME / SARL TAK 10;TAK 10;INTERMARK 10 EME / SARL TAK 10;ASSOCIATION HANG ART 410;FRUIT&VEG INTERMARK 13E;INTAKA PRODUCTION;INTERMARK 13EME
TEAM MAROT;TEAM MAROT;TEAM MAROT;ASSOCIATION BETEL MARRON;CHEZ MARGOT;FONTAINE MARTINE MARIE PAULE;PAYET JEAN MARIE
TRANSPORT LI CHAM YON;TRANSPORTS LI CHAM YON SARL;TRANSPORT LI CHAM YON;RAVSPORT;LE CHAM' O;ANSA;Eric LI CHAM YON
;VINDEMIA DISTRIBUTION;PROMOCASH SAINT LOUIS /VINDEMIA DISTRIBUTION;PROMOCASH SAINT PIERRE/VINDEMIA DISTRIBUTION;VINDEMIA DISTRIBUTION CARREFOUR GRAND LARGE ST PIERRE;VINDEMIA DISTRIBUTION CARREFOUR LE PORT;VINDEMIA DISTRIBUTION CARREFOUR MARKET BELLEPIERRE
VINDEMIA LOGISTIQUE  / SORECOM ENTREPOT;VINDEMIA LOGISTIQUE;VINDEMIA LOGISTIQUE  / SORECOM ENTREPOT;LOGISTISUD;DMAI;ELMA;EMJI
ZICO MAT;ZICO MAT;ZICO MAT;ECOLE MATERNELLE MARIE CURIE;FCO;OH MIAM;ASSOCIATION  MAHA BADRA KARLI
ZOOPARC;ZOOPARC;ZOOPARC;DPR;CHEZ OPPA;AC2V;ACSE
O'BESTIA;O.BESTIA;;;;;
GOUTS&SAVEURS;GOUTS ET SAVEURS;;;;;
